user_id,date,hour,chronotype,circadian_phase,hourly_energy,hourly_productivity,focus_score,cognitive_capacity,recommended_task_type
U0001,2026-06-29,0,Intermediate,Night,1.82,6.21,4.56,13.26,Recovery Break
U0001,2026-06-29,1,Intermediate,Night,2.02,7.74,6.2,14.28,Recovery Break
U0001,2026-06-29,2,Intermediate,Night,2.22,9.27,7.85,15.3,Recovery Break
U0001,2026-06-29,3,Intermediate,Night,2.42,10.79,9.48,16.31,Recovery Break
U0001,2026-06-29,4,Intermediate,Night,2.62,12.32,11.12,17.33,Recovery Break
U0001,2026-06-29,5,Intermediate,Morning,2.82,13.85,12.77,18.35,Recovery Break
U0001,2026-06-29,6,Intermediate,Morning,5.55,34.86,35.24,32.28,Recovery Break
U0001,2026-06-29,7,Intermediate,Morning,6.0,38.25,38.91,34.56,Admin Tasks
U0001,2026-06-29,8,Intermediate,Morning,6.44,41.65,42.54,36.81,Admin Tasks
U0001,2026-06-29,9,Intermediate,Morning,6.88,45.05,46.17,39.06,Admin Tasks
U0001,2026-06-29,10,Intermediate,Morning,7.33,48.44,49.83,41.33,Admin Tasks
U0001,2026-06-29,11,Intermediate,Midday,7.77,51.84,53.46,43.58,Admin Tasks
U0001,2026-06-29,12,Intermediate,Midday,8.21,55.24,57.09,45.83,Admin Tasks
U0001,2026-06-29,13,Intermediate,Midday,6.68,43.46,44.49,38.02,Admin Tasks
U0001,2026-06-29,14,Intermediate,Midday,6.3,40.6,41.4,36.1,Admin Tasks
U0001,2026-06-29,15,Intermediate,Afternoon,5.93,37.75,38.35,34.21,Admin Tasks
U0001,2026-06-29,16,Intermediate,Afternoon,6.44,41.65,42.54,36.81,Admin Tasks
U0001,2026-06-29,17,Intermediate,Afternoon,6.0,38.25,38.91,34.56,Admin Tasks
U0001,2026-06-29,18,Intermediate,Afternoon,5.55,34.86,35.24,32.28,Planning
U0001,2026-06-29,19,Intermediate,Evening,5.11,31.46,31.61,30.03,Recovery Break
U0001,2026-06-29,20,Intermediate,Evening,4.67,28.07,27.99,27.79,Recovery Break
U0001,2026-06-29,21,Intermediate,Evening,3.24,17.1,16.23,20.49,Recovery Break
U0001,2026-06-29,22,Intermediate,Evening,2.93,14.72,13.68,18.91,Recovery Break
U0001,2026-06-29,23,Intermediate,Evening,2.62,12.35,11.14,17.34,Recovery Break
U0002,2026-06-29,0,Intermediate,Night,1.55,4.35,2.56,10.64,Recovery Break
U0002,2026-06-29,1,Intermediate,Night,1.73,5.69,4.02,11.55,Recovery Break
U0002,2026-06-29,2,Intermediate,Night,1.91,7.04,5.48,12.46,Recovery Break
U0002,2026-06-29,3,Intermediate,Night,2.09,8.38,6.94,13.36,Recovery Break
U0002,2026-06-29,4,Intermediate,Night,2.28,9.72,8.44,14.29,Recovery Break
